ID варианта товара,Артикул,Название товара,Цена продажи,Остаток
253258888,"Растворимый кофе Me Trang MCI 2 в 1, в пакетиках 15 шт",145719633,340.0,340.0
253291232,"Растворимый кофе Me Trang MCI 3 в 1, в пакетиках 18 шт",145743108,340.0,340.0
253292431,Кофе в зёрнах Me Trang Culi (Кули) 500 гр,145744003,695.0,695.0
253401078,Кофе растворимый Egoiste Special с молотым кофе 100 г,145829878,520.0,520.0
253401845,"Кофе растворимый Московская кофейня на паяхъ Арабика, пакет 150 г",145830370,356.0,356.0
253404613,"Кофе растворимый Московская кофейня на паяхъ Суаре, пакет 190 г",145832321,335.0,335.0
253405028,"Кофе растворимый Московская кофейня на паяхъ Суаре, пакет 95 г",145832650,205.0,205.0
257185779,Кофе в капсулах Pellini Supremo (10 шт.),148140595,370.0,370.0
257186862,Кофе в капсулах Pellini Magnifico (10 шт.),148141472,370.0,370.0
257478157,Чай Teapins Пусть будет! ассорти подарочный набор,148352329,295.0,295.0
257478369,Чай Teapins I wish you ассорти подарочный набор,148352443,431.0,431.0
257916042,Fairy Platinum All in 1 капсулы (лимон) для посудомоечной машины 70 шт,148632310,855.0,855.0
257926373,"POLEZZNO Гуарана, коробка 100 г",148639019,890.0,890.0
257927034,"POLEZZNO Мака перуанская, коробка 100 г",148639562,570.0,570.0
257928350,Чай травяной Polezzno Куркума латте,148640709,237.0,237.0
257930084,"Чай травяной Polezzno Масала, 100 г",148642171,570.0,570.0
257941481,Чай травяной Polezzno Голубая масала,148651483,604.0,604.0
257946115,"Чай травяной Polezzno Мате, 50 г",148654937,190.0,190.0
257949455,"Чай зеленый Polezzno Матча, 50 гр",148657470,430.0,430.0
257951460,"Чай зеленый Polezzno Матча, 100 гр",148659232,590.0,590.0
257953475,Чай травяной Polezzno Голубая матча,148661132,430.0,430.0
